Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,d1,answer
153,1631619794576,14/09/2021 11:43:14,1631619794350,2,14/09/2021 13:43:14,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,84,69,1,Screen 1,fixation,fixation,299.9880000000121,null,,null,,0,1,0,,,false,,,Task,5,
154,1631619794771,14/09/2021 11:43:14,1631619794551,2,14/09/2021 13:43:14,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,84,69,2,Screen 2,Zone2,timelimit_screen,199.99199999999837,null,,,,0,1,0,,,true,,,Task,5,
155,1631619795077,14/09/2021 11:43:15,1631619794851,2,14/09/2021 13:43:14,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,85,70,1,Screen 1,fixation,fixation,299.98799999999756,null,,null,,0,1,0,,,false,,,Task,3,
156,1631619795271,14/09/2021 11:43:15,1631619795051,2,14/09/2021 13:43:15,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,85,70,2,Screen 2,Zone2,timelimit_screen,199.99199999999837,null,,,,0,1,0,,,true,,,Task,3,
157,1631619801519,14/09/2021 11:43:21,1631619801298,2,14/09/2021 13:43:21,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,86,14,1,Screen 1,Zone2,response_text_entry,6230.899999991059,null,,69175423,1,0,1,0,,,false,,,Test_Forwards,,69174253
158,1631619801816,14/09/2021 11:43:21,1631619801592,2,14/09/2021 13:43:21,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,87,71,1,Screen 1,fixation,fixation,299.98799999999756,null,,null,,0,1,0,,,false,,,Task,2,
159,1631619802020,14/09/2021 11:43:22,1631619801793,2,14/09/2021 13:43:21,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,87,71,2,Screen 2,Zone2,timelimit_screen,199.99199999999837,null,,,,0,1,0,,,true,,,Task,2,
160,1631619802317,14/09/2021 11:43:22,1631619802093,2,14/09/2021 13:43:22,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,88,72,1,Screen 1,fixation,fixation,299.98799999999756,null,,null,,0,1,0,,,false,,,Task,4,
161,1631619802536,14/09/2021 11:43:22,1631619802292,2,14/09/2021 13:43:22,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,88,72,2,Screen 2,Zone2,timelimit_screen,199.99199999999837,null,,,,0,1,0,,,true,,,Task,4,
162,1631619802816,14/09/2021 11:43:22,1631619802592,2,14/09/2021 13:43:22,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,89,73,1,Screen 1,fixation,fixation,299.98799999999756,null,,null,,0,1,0,,,false,,,Task,6,
